"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 25 22:22:11 EEST 2023","Mon Sep 25 22:22:31 EEST 2023","20089","","API Exercises","","","","Create User",""
"passed","Mon Sep 25 22:26:13 EEST 2023","Mon Sep 25 22:26:14 EEST 2023","774","","Files","","","","cy.writeFile() - write to a file",""
"passed","Mon Sep 25 22:26:53 EEST 2023","Mon Sep 25 22:26:54 EEST 2023","709","","Querying","","","","cy.get() - query DOM elements",""
"passed","Mon Sep 25 22:27:17 EEST 2023","Mon Sep 25 22:27:17 EEST 2023","203","","Traversal","","","",".eq() - get a DOM element at a specific index",""
"passed","Mon Sep 25 22:26:06 EEST 2023","Mon Sep 25 22:26:06 EEST 2023","205","Cypress APIs","Cypress.dom","","","",".isHidden() - determine if a DOM element is hidden",""
"passed","Mon Sep 25 22:27:55 EEST 2023","Mon Sep 25 22:27:55 EEST 2023","210","","Window","","","","cy.document() - get the document object",""
"passed","Mon Sep 25 22:26:18 EEST 2023","Mon Sep 25 22:26:19 EEST 2023","628","","Location","","","","cy.hash() - get the current URL hash",""
"passed","Mon Sep 25 22:26:04 EEST 2023","Mon Sep 25 22:26:04 EEST 2023","632","Cypress APIs","Cypress.Commands","","","",".add() - create a custom command",""
"passed","Mon Sep 25 22:26:06 EEST 2023","Mon Sep 25 22:26:06 EEST 2023","191","Cypress APIs","Cypress.env()","","","","Get environment variables",""
"passed","Mon Sep 25 22:25:41 EEST 2023","Mon Sep 25 22:25:41 EEST 2023","234","Assertions","Explicit Assertions","","","","can throw any error",""
"passed","Mon Sep 25 22:27:28 EEST 2023","Mon Sep 25 22:27:29 EEST 2023","1178","","Utilities","","","","Cypress.Promise - instantiate a bluebird promise",""
"passed","Mon Sep 25 22:25:50 EEST 2023","Mon Sep 25 22:25:50 EEST 2023","237","Connectors",".then()","","","","invokes a callback function with the current subject",""
"passed","Mon Sep 25 22:27:01 EEST 2023","Mon Sep 25 22:27:03 EEST 2023","2558","","Spies, Stubs, and Clock","","","","cy.spy() retries until assertions pass",""
"passed","Mon Sep 25 22:26:04 EEST 2023","Mon Sep 25 22:26:05 EEST 2023","207","Cypress APIs","Cypress.arch","","","","Get CPU architecture name of underlying OS",""
"passed","Mon Sep 25 22:27:18 EEST 2023","Mon Sep 25 22:27:19 EEST 2023","185","","Traversal","","","",".nextAll() - get all next sibling DOM elements",""
